PUID,ACCENUMB,CROPNAME,COLLMISSID,COLLNAME,COLLCODE,COLLINSTADDRESS,GENUS,SPECIES,SPAUTHOR,SUBTAXA,SUBTAUTHOR,ACQDATE,ORIGCTY,COLLSITE,DECLATITUDE,DECLONGITUDE,ELEVATION,COLLDATE,ACCENAME,SAMPSTAT,ANCEST,COLSRC,DONORNAME,DUPLINSTNAME,MLSSTAT
10.18730/64E6T,16880,Barley,RUS26,VIR,RUS001,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,RUS,"Krasnodar, Krasnodar Territory, Kavkazskiy rayon District, Kazanskaya rejon",45.4167,40.4167,NULL,4/9/1905,,300,NULL,NULL,USDA,GRS-LBN;INRA-MAR;SGSV,1
10.18730/64EC*,16886,Barley,RUS26,VIR,RUS001,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,RUS,"Stavropol, Stavropol' Territory, Stavropol' District, Stavropol'",45.05,41.95,NULL,4/9/1905,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64EZE,16905,Barley,RUS27,VIR,RUS001,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,RUS,"Stavropol, Stavropol' Territory, Andropovskiy rayon District, village Kursavka",44.45,42.4833,NULL,4/10/1905,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64FCV,16918,Barley,RUS31,VIR,RUS001,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,RUS,"Stavropol, Stavropol' Territory, Petrovskiy rayon District, Petrovskoye [Svetlograd]",45.3333,42.8333,NULL,4/14/1905,,300,NULL,NULL,USDA,SGSV,1
10.18730/64FJ~,16924,Barley,RUS26,VIR,RUS001,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,RUS,"Kabardino-Balkaria, Stavropol' Territory, Kirovskiy rayon District, Prokhladnyy rejon",43.75,43.9,NULL,4/9/1905,,300,NULL,NULL,USDA,GRS-LBN;INRA-MAR;SGSV,1
10.18730/64FM=,16926,Barley,RUS26,VIR,RUS001,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,RUS,"Kabardino-Balkaria, Kabardin-Balkar Republic, Chegemskiy rayon District, ",43.5,43.7167,NULL,4/9/1905,,300,NULL,NULL,USDA,GRS-LBN;INRA-MAR;SGSV,1
10.18730/64FS3,16931,Barley,RUS26,VIR,RUS001,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,RUS,"Kabardino-Balkaria, Kabardin-Balkar Republic, Chegemskiy rayon District, ",43.3833,43.55,NULL,4/9/1905,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64GCP,16950,Barley,NULL,NULL,NULL,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,GEO,"Borchalo [Marneuli], Kvemo Kartli Region, Bolnisi District, village Marneuli",41.45,44.4667,NULL,4/6/1905,,300,NULL,NULL,USDA,GRS-LBN;INRA-MAR;SGSV,1
10.18730/64GHV,16955,Barley,TKM27,VIR,RUS001,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,TKM,"Mary, Mary Province, , town Iolotan'",37.2833,62.35,NULL,4/10/1905,,300,NULL,NULL,USDA,GRS-LBN;INRA-MAR;SGSV,1
10.18730/64GJW,16956,Barley,TKM27,VIR,RUS001,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,TKM,"Charjew, Chardzhou Province, , district Staro-Chardzhou",39.0833,63.5667,NULL,4/10/1905,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64GKX,16957,Barley,NULL,NULL,NULL,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,UZB,"Guliston, Sirdaryo Region, , Gulistan [Guliston]",40.5,68.7667,NULL,4/4/1905,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64GQ~,16961,Barley,ARM24,VIR,RUS001,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,ARM,"Tavush, Tavush Province, , town Dilijan",40.7333,44.8667,NULL,4/7/1905,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64GS=,16963,Barley,NULL,NULL,NULL,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,ARM,"Syunik, Syunik Province, , village Chakaten",39.15,46.4167,NULL,4/10/1905,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64GTU,16964,Barley,NULL,NULL,NULL,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,ARM,"Dilijan, Tavush Province, , province Dilijan; district Ijevan; village Nushian",40.8667,45.1333,NULL,4/10/1905,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64GV0,16965,Barley,NULL,NULL,NULL,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,ARM,"Syunik, Syunik Province, , Megri District; Kaler village",39.0667,46.2667,NULL,4/10/1905,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64GW1,16966,Barley,NULL,NULL,NULL,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,ARM,"Dilijan, Tavush Province, , province Dilijan; village Koshkotan",41.1191,45.0652,NULL,4/10/1905,,300,NULL,NULL,USDA,GRS-LBN;INRA-MAR;SGSV,1
10.18730/64GZ4,16969,Barley,UKR24,VIR,RUS001,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,UKR,"Respublika Krym, Crimea Autonomous Republic, Yalta, village Gaspra",44.4333,34.0833,NULL,4/7/1905,,300,NULL,NULL,USDA,GRS-LBN;INRA-MAR;SGSV,1
10.18730/64H05,16970,Barley,UKR24,VIR,RUS001,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,UKR,"Respublika Krym, Crimea Autonomous Republic, Yalta, village Gaspra",44.4333,34.0833,NULL,4/7/1905,,300,NULL,NULL,USDA,GRS-LBN;INRA-MAR;SGSV,1
10.18730/64H5A,16975,Barley,TKM24,VIR,RUS001,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,TKM,"Ashgabat, Ahal Province, , railway station Artyk",37.5667,59.2833,NULL,4/7/1905,,300,NULL,NULL,USDA,GRS-LBN;INRA-MAR;SGSV,1
10.18730/64H8D,16978,Barley,NULL,NULL,NULL,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,TKM,"Ashgabat, Ahal Province, , ",37.95,58.3667,NULL,,,300,NULL,NULL,USDA,GRS-LBN;INRA-MAR;SGSV,1
10.18730/64HBG,16981,Barley,NULL,NULL,NULL,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,TKM,"Ashgabat, Ahal Province, , ",37.95,58.3667,NULL,4/10/1905,,300,NULL,NULL,USDA,GRS-LBN;INRA-MAR;SGSV,1
10.18730/64HFM,16985,Barley,NULL,NULL,NULL,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,UZB,"Toshkent, Tashkent Region, , Toshkent",41.3,69.2833,NULL,4/4/1905,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64HJQ,16988,Barley,UZB26,VIR,RUS001,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,UZB,"Bukhara, Bukhoro Region, , Bukhara; bazar",39.7667,64.4167,NULL,4/8/1905,,300,NULL,NULL,USDA,GRS-LBN;INRA-MAR;SGSV,1
10.18730/64HMS,16990,Barley,NULL,NULL,NULL,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,ARM,"Syunik, Syunik Province, , village Tatev",39.3667,46.2333,NULL,4/10/1905,,300,NULL,NULL,USDA,GRS-LBN;INRA-MAR;SGSV,1
10.18730/64HQW,16993,Barley,IRN26,VIR,RUS001,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,IRN,", Razavi Khorasan Province, n.a. ( 86) County, village Salehabad",35.6667,61.0667,NULL,4/9/1905,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64J00,17002,Barley,RUS27,VIR,RUS001,,Hordeum,vulgare,L.,subsp. vulgare convar. distichon,(L.) Alef.,1977,RUS,"Stavropol, Stavropol' Territory, Stavropol' District, Stavropol'",45.05,41.95,NULL,4/10/1905,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
