Taxa	DECLATITUDE	DECLONGITUDE
ICARDA_G0340	45.4167	40.4167
ICARDA_G1161	45.05	41.95
ICARDA_G0722	44.45	42.4833
ICARDA_G1249	45.3333	42.8333
ICARDA_G0263	43.75	43.9
ICARDA_G0295	43.5	43.7167
ICARDA_G0375	43.3833	43.55
ICARDA_G0317	41.45	44.4667
ICARDA_G1438	37.2833	62.35
ICARDA_G1292	39.0833	63.5667
ICARDA_G0586	40.5	68.7667
ICARDA_G0801	40.7333	44.8667
ICARDA_G1375	39.15	46.4167
ICARDA_G0194	40.8667	45.1333
ICARDA_G0148	39.0667	46.2667
ICARDA_G0661	41.1191	45.0652
ICARDA_G1392	44.4333	34.0833
ICARDA_G0909	44.4333	34.0833
ICARDA_G1087	37.5667	59.2833
ICARDA_G1208	37.95	58.3667
ICARDA_G0181	37.95	58.3667
ICARDA_G0221	41.3	69.2833
ICARDA_G1267	39.7667	64.4167
ICARDA_G0745	39.3667	46.2333
ICARDA_G0436	35.6667	61.0667
ICARDA_G0545	45.05	41.95
ICARDA_G1370	9.15	39.0333
ICARDA_G0858	9.15	39.0333
ICARDA_G0103	8.3	39.3167
ICARDA_G0887	7.81667	36.6833
ICARDA_G1427	15.3333	38.9333
ICARDA_G1330	9.58333	41.8667
ICARDA_G0854	9.58333	41.8667
ICARDA_G0700	8.83333	38.9667
ICARDA_G1199	8.83333	38.9667
ICARDA_G0061	9.73333	38.8
ICARDA_G0720	9.73333	38.8
ICARDA_G1468	9.73333	38.8
ICARDA_G0788	12.7333	37.5167
ICARDA_G0687	12.7333	37.5167
ICARDA_G1085	13	37.7833
ICARDA_G0105	13.15	37.9
ICARDA_G0142	14.1333	38.7167
ICARDA_G1215	9.83333	39.7167
ICARDA_G1153	9.83333	39.7167
ICARDA_G1101	7.95	39.1333
ICARDA_G0411	7.95	39.1333
ICARDA_G0752	9.18333	38.1167
ICARDA_G0572	46.4833	30.7
ICARDA_G0600	43.3	21.3
ICARDA_G0216	44.1667	20.6667
ICARDA_G1331	44.1667	20.6667
ICARDA_G0931	44.0333	20.45
ICARDA_G0445	41.0333	21.5667
ICARDA_G1448	43.25	21.5833
ICARDA_G0270	43.25	21.7333
ICARDA_G0301	43.1833	20.7333
ICARDA_G1433	41.8	20.9
ICARDA_G0621	43.2167	22.3333
ICARDA_G1218	41.7667	21.75
ICARDA_G1274	42	21.4
ICARDA_G1232	43.4	19.65
ICARDA_G0341	43.3833	19.7
ICARDA_G1379	42.7333	22.3
ICARDA_G1029	42.8833	22.4
ICARDA_G0084	42.7167	22.3
ICARDA_G0016	43.4	19.65
ICARDA_G0463	42.8833	22.4
ICARDA_G0707	42.75	22.3333
ICARDA_G1173	42.45	18.5333
ICARDA_G0121	42.5367	18.4928
ICARDA_G0033	42.5367	18.4928
ICARDA_G0461	42.5	19.3
ICARDA_G0493	42.6667	18.3833
ICARDA_G1183	43.0333	18.3333
ICARDA_G0650	42.5	19.3
ICARDA_G1253	43.1167	17.6833
ICARDA_G1004	43.55	19.0667
ICARDA_G0383	43.5333	19.1333
ICARDA_G1285	43.3833	19.3333
ICARDA_G0692	42.5	19.3
ICARDA_G1365	44.85	20.5
ICARDA_G0433	43.2833	19.3667
ICARDA_G0012	42.9667	19.0833
ICARDA_G0599	43.4	20.0167
ICARDA_G0451	43.3833	20.8833
ICARDA_G1096	29	53
ICARDA_G0400	12.5	37
ICARDA_G0548	35.8167	9.46667
ICARDA_G0882	35.8167	9.46667
ICARDA_G1115	34	9
ICARDA_G0265	33.6167	8.91667
ICARDA_G0562	33.6	8.91667
ICARDA_G0693	33.7833	8.85
ICARDA_G1044	36.9167	9.93333
ICARDA_G0660	36.9167	9.93333
ICARDA_G0325	34.0167	8.26667
ICARDA_G1058	8.96667	37.6667
ICARDA_G0279	8.45	39.7667
ICARDA_G0738	36.7667	-119.417
ICARDA_G0880	9.05	38.7
ICARDA_G0373	43.85	25.9667
ICARDA_G0034	47.4	11.9333
ICARDA_G0337	34.6833	135.167
ICARDA_G1083	39.9167	32.8333
ICARDA_G0982	40.7333	31.6
ICARDA_G0967	29.6833	91.0833
ICARDA_G0418	30	91
ICARDA_G1145	39.0833	30.1167
ICARDA_G0964	41.05	29.1667
ICARDA_G0140	39.8167	27.8333
ICARDA_G0915	41.1167	30.6167
ICARDA_G0876	40.8833	29.2667
ICARDA_G1097	41	29.0667
ICARDA_G1281	38.1667	34.4833
ICARDA_G0976	37.9333	33.2167
ICARDA_G0324	39	35
ICARDA_G1449	37.4667	32.2667
ICARDA_G0845	39.9167	32.8667
ICARDA_G0282	39.3833	29.5833
ICARDA_G0571	41.0833	28.25
ICARDA_G0520	41.1667	28.6167
ICARDA_G0775	40.1	28.4667
ICARDA_G0276	41.0833	28.8833
ICARDA_G0154	40.9833	42.15
ICARDA_G1384	41.2833	28.8
ICARDA_G0651	41.2167	29.0167
ICARDA_G0225	37.9167	41.3
ICARDA_G1283	40.1167	29.3333
ICARDA_G0944	40.4167	29.1
ICARDA_G0918	38.6667	39.2167
ICARDA_G0777	41.3167	32.1333
ICARDA_G1383	39.5667	36.25
ICARDA_G0921	40.4333	35.6833
ICARDA_G1207	41.3833	27.85
ICARDA_G1456	38.5167	43.5167
ICARDA_G0009	41.8667	26.8333
ICARDA_G0465	41.1667	29.5333
ICARDA_G0396	37.85	27.25
ICARDA_G0163	41.2833	36.3333
ICARDA_G0565	40.6833	29.6167
ICARDA_G0583	39.6333	27.8833
ICARDA_G0311	40.0833	29.5167
ICARDA_G0628	38.7667	30.5333
ICARDA_G0522	37.9167	28.3167
ICARDA_G0920	37.8667	30.85
ICARDA_G1241	35.0333	25.75
ICARDA_G1337	39.1833	21.5
ICARDA_G0467	37.6667	21.4333
ICARDA_G0629	36.7667	22.55
ICARDA_G0492	36.7356	22.4661
ICARDA_G1460	37.5544	22.3753
ICARDA_G1299	36.9167	22.4333
ICARDA_G0762	37.9333	23.5333
ICARDA_G0971	37.5	22.35
ICARDA_G1165	36.8908	22.5319
ICARDA_G1320	41.25	33.3333
ICARDA_G1162	36.65	22.3833
ICARDA_G0010	37.5667	22.7167
ICARDA_G0509	36.9	22.45
ICARDA_G0118	39.6	19.9167
ICARDA_G0823	37.9333	22.3333
ICARDA_G0654	37.9833	22
ICARDA_G1035	36.65	22.3833
ICARDA_G0848	39.8	29.0833
ICARDA_G0198	38.0167	27.5333
ICARDA_G0636	37.6167	36.9333
ICARDA_G0557	37.5	36.8
ICARDA_G0475	42.1667	20.5333
ICARDA_G0038	38.1667	20.4333
ICARDA_G0881	37.6	22.0333
ICARDA_G1008	40.25	21.9167
ICARDA_G0314	36.75	22.5667
ICARDA_G0232	41.8167	20.4167
ICARDA_G0248	39.8667	20.7667
ICARDA_G0273	37.2167	28.3667
ICARDA_G0312	37.9333	28.9167
ICARDA_G0327	39.6833	43.25
ICARDA_G0082	37.6167	36.9333
ICARDA_G1231	40.25	26.6833
ICARDA_G1325	35.3	23.6333
ICARDA_G0359	34	66
ICARDA_G0329	29.6667	91.1333
ICARDA_G0261	37.6167	36.9333
ICARDA_G0192	34.7667	113.65
ICARDA_G1151	37.9	112.567
ICARDA_G0893	36.1667	120.417
ICARDA_G0649	36.6667	73
ICARDA_G0471	37.2167	28.3667
ICARDA_G0681	38.1833	15.7167
ICARDA_G0751	29.6833	91.0833
ICARDA_G0532	36.9167	22.4333
ICARDA_G0698	38.4333	27.15
ICARDA_G0847	39	35
ICARDA_G0942	36.6417	35.375
