Taxa	Country
ICARDA_G0340	Argentina
ICARDA_G1161	Egypt
ICARDA_G0722	Iran
ICARDA_G1249	Russia
ICARDA_G0263	Canada
ICARDA_G0295	Germany
ICARDA_G0375	France
ICARDA_G0317	United Kingdom
ICARDA_G1438	Australia
ICARDA_G1292	United States
ICARDA_G0586	Turkey
ICARDA_G0801	China
ICARDA_G1375	India
ICARDA_G0194	Brazil
ICARDA_G0148	Australia
ICARDA_G0661	United States
ICARDA_G1392	Turkey
ICARDA_G0909	China
ICARDA_G1087	India
ICARDA_G1208	Brazil
ICARDA_G0181	Canada
ICARDA_G0221	Australia
ICARDA_G1267	Germany
ICARDA_G0745	Mexico
ICARDA_G0436	South Africa
ICARDA_G0545	Argentina
ICARDA_G1370	Egypt
ICARDA_G0858	Iran
ICARDA_G0103	Russia
ICARDA_G0887	Canada
ICARDA_G1427	Germany
ICARDA_G1330	France
ICARDA_G0854	United Kingdom
ICARDA_G0700	Australia
ICARDA_G1199	United States
ICARDA_G0061	Turkey
ICARDA_G0720	China
ICARDA_G1468	India
ICARDA_G0788	Brazil
ICARDA_G0687	Canada
ICARDA_G1085	Australia
ICARDA_G0105	Germany
ICARDA_G0142	Mexico
ICARDA_G1215	Argentina
ICARDA_G1153	Egypt
ICARDA_G1101	Iran
ICARDA_G0411	Russia
ICARDA_G0752	Canada
ICARDA_G0572	Germany
ICARDA_G0600	France
ICARDA_G0216	United Kingdom
ICARDA_G1331	Australia
ICARDA_G0931	United States
ICARDA_G0445	Turkey
ICARDA_G1448	China
ICARDA_G0270	India
ICARDA_G0301	Brazil
ICARDA_G1433	Brazil
ICARDA_G0621	Canada
ICARDA_G1218	Australia
ICARDA_G1274	Germany
ICARDA_G1232	Mexico
ICARDA_G0341	Argentina
ICARDA_G1379	Egypt
ICARDA_G1029	Iran
ICARDA_G0084	Russia
ICARDA_G0016	Canada
ICARDA_G0463	Germany
ICARDA_G0707	France
ICARDA_G1173	United Kingdom
ICARDA_G0121	Australia
ICARDA_G0033	United States
ICARDA_G0461	Turkey
ICARDA_G0493	China
ICARDA_G1183	India
ICARDA_G0650	Argentina
ICARDA_G1253	Egypt
ICARDA_G1004	Iran
ICARDA_G0383	Russia
ICARDA_G1285	Canada
ICARDA_G0692	Germany
ICARDA_G1365	France
ICARDA_G0433	United Kingdom
ICARDA_G0012	Australia
ICARDA_G0599	United States
ICARDA_G0451	Turkey
ICARDA_G1096	China
ICARDA_G0400	Argentina
ICARDA_G0548	Egypt
ICARDA_G0882	Iran
ICARDA_G1115	Russia
ICARDA_G0265	Canada
ICARDA_G0562	Germany
ICARDA_G0693	France
ICARDA_G1044	United Kingdom
ICARDA_G0660	Australia
ICARDA_G0325	United States
ICARDA_G1058	Turkey
ICARDA_G0279	China
ICARDA_G0738	India
ICARDA_G0880	Argentina
ICARDA_G0373	Egypt
ICARDA_G0034	Iran
ICARDA_G0337	Russia
ICARDA_G1083	Canada
ICARDA_G0982	Germany
ICARDA_G0967	France
ICARDA_G0418	United Kingdom
ICARDA_G1145	Australia
ICARDA_G0964	United States
ICARDA_G0140	Turkey
ICARDA_G0915	China
ICARDA_G0876	Argentina
ICARDA_G1097	Egypt
ICARDA_G1281	Iran
ICARDA_G0976	Russia
