BIO1	BIO2	BIO3	BIO4	BIO5	BIO6	BIO7	BIO8	BIO9	BIO10	BIO11	BIO12	BIO13	BIO14	BIO15	BIO16	BIO17	BIO18	BIO19
ICARDA_G0340	54	110	34	7527	224	-99	323	82	-44	147	-44	549	92	20	46	230	67	130	67
ICARDA_G1161	79	107	33	7519	244	-72	316	153	-19	173	-19	869	132	30	44	351	106	304	106
ICARDA_G0722	20	110	35	6974	180	-127	307	87	-71	106	-71	1000	142	34	44	392	117	373	117
ICARDA_G1249	27	105	33	7503	193	-125	318	101	-72	120	-72	956	144	27	52	405	90	386	90
ICARDA_G0263	99	102	29	9066	284	-67	351	195	-8	214	-18	573	85	26	39	224	84	215	86
ICARDA_G0295	88	103	30	8584	266	-74	340	178	-14	197	-23	659	98	27	41	261	92	247	93
ICARDA_G0375	81	105	31	8260	254	-78	332	166	-19	185	-27	739	107	31	39	288	105	273	106
ICARDA_G0317	97	102	31	7984	268	-56	324	178	1	198	-7	726	101	31	33	265	109	255	114
ICARDA_G1438	15	80	21	9902	212	-166	378	82	-103	143	-114	651	81	30	29	227	103	203	119
ICARDA_G1292	15	78	20	9973	215	-165	380	82	-103	146	-114	582	72	27	31	204	89	186	105
ICARDA_G0586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0801	111	101	30	8452	289	-47	336	198	9	218	1	655	84	31	25	219	113	209	123
ICARDA_G1375	106	86	24	9484	288	-60	348	208	40	225	-17	580	64	35	20	177	117	170	151
ICARDA_G0194	108	103	29	8756	292	-55	347	199	3	218	-6	607	79	30	26	206	105	197	114
ICARDA_G0148	108	85	24	9373	288	-57	345	208	42	226	-13	588	65	37	20	179	117	172	153
ICARDA_G0661	108	105	29	8836	294	-57	351	200	2	219	-8	588	76	30	25	200	102	191	109
ICARDA_G1392	227	150	38	8872	439	46	393	112	338	338	112	186	37	0	90	99	0	0	99
ICARDA_G0909	227	150	38	8872	439	46	393	112	338	338	112	186	37	0	90	99	0	0	99
ICARDA_G1087	29	86	22	10059	226	-155	381	157	-91	157	-103	596	80	24	35	218	79	218	98
ICARDA_G1208	36	85	22	10080	231	-147	378	164	-84	164	-96	593	81	24	34	215	80	215	100
ICARDA_G0181	36	85	22	10080	231	-147	378	164	-84	164	-96	593	81	24	34	215	80	215	100
ICARDA_G0221	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1267	10	78	20	9830	208	-169	377	78	-106	139	-117	544	66	26	30	188	84	173	99
ICARDA_G0745	107	88	25	9417	290	-59	349	208	41	225	-15	600	68	37	20	185	120	175	154
ICARDA_G0436	29	84	22	9737	222	-150	372	94	-41	154	-98	652	82	28	31	226	98	211	120
ICARDA_G0545	79	107	33	7519	244	-72	316	153	-19	173	-19	869	132	30	44	351	106	304	106
ICARDA_G1370	165	86	37	5150	294	64	230	144	232	234	105	446	61	3	55	177	19	46	169
ICARDA_G0858	165	86	37	5150	294	64	230	144	232	234	105	446	61	3	55	177	19	46	169
ICARDA_G0103	167	80	36	4968	289	72	217	121	230	234	109	627	101	3	62	274	21	50	252
ICARDA_G0887	180	95	40	5062	309	72	237	133	243	248	119	698	116	3	63	321	30	42	314
ICARDA_G1427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1330	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0700	160	85	37	5191	290	61	229	112	227	230	100	570	82	4	58	236	23	51	229
ICARDA_G1199	160	85	37	5191	290	61	229	112	227	230	100	570	82	4	58	236	23	51	229
ICARDA_G0061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1468	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0788	179	74	35	4960	296	85	211	163	241	244	120	470	71	2	62	208	16	43	155
ICARDA_G0687	179	74	35	4960	296	85	211	163	241	244	120	470	71	2	62	208	16	43	155
ICARDA_G1085	167	71	33	5236	288	73	215	149	235	237	106	523	78	3	60	225	22	50	174
ICARDA_G0105	168	67	31	5268	288	74	214	149	236	238	107	564	83	4	59	240	26	54	191
ICARDA_G0142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1215	173	72	33	5105	294	81	213	154	240	243	115	390	60	3	55	170	23	51	109
ICARDA_G1153	173	72	33	5105	294	81	213	154	240	243	115	390	60	3	55	170	23	51	109
ICARDA_G1101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0411	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0752	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0572	241	149	39	8416	436	60	376	127	340	340	127	89	20	0	90	53	0	0	53
ICARDA_G0600	262	150	48	6123	409	99	310	267	331	338	181	89	32	0	129	67	4	5	13
ICARDA_G0216	264	148	46	6421	417	100	317	231	261	344	179	72	28	0	133	57	1	5	10
ICARDA_G1331	264	148	46	6421	417	100	317	231	261	344	179	72	28	0	133	57	1	5	10
ICARDA_G0931	263	148	47	6196	413	101	312	232	259	340	182	78	29	0	143	61	1	6	10
ICARDA_G0445	247	140	50	5140	378	101	277	248	309	309	178	124	31	1	78	67	9	9	21
ICARDA_G1448	262	150	47	6242	411	98	313	267	333	339	179	88	31	0	124	65	4	5	13
ICARDA_G0270	261	151	47	6307	411	96	315	266	332	338	177	88	31	0	122	64	3	4	15
ICARDA_G0301	257	150	48	5960	403	96	307	263	253	332	179	98	35	0	129	75	4	6	13
ICARDA_G1433	242	143	51	5148	374	94	280	244	305	305	173	141	39	2	92	86	14	14	22
ICARDA_G0621	256	152	47	6457	409	88	321	261	335	335	169	95	32	0	126	67	3	3	17
ICARDA_G1218	253	146	49	5571	391	98	293	256	321	321	178	111	32	1	90	68	7	7	19
ICARDA_G1274	250	146	50	5505	387	96	291	253	318	318	177	119	35	1	100	75	9	9	19
ICARDA_G1232	246	148	51	5361	384	96	288	252	239	314	177	122	41	1	124	90	4	13	15
ICARDA_G0341	248	149	51	5470	387	95	292	254	241	317	177	118	40	1	135	88	4	12	14
ICARDA_G1379	259	151	48	6252	408	94	314	263	335	335	175	94	31	0	119	65	3	3	17
ICARDA_G1029	258	152	47	6372	410	91	319	262	335	335	172	95	31	0	119	65	3	3	18
ICARDA_G0084	259	151	48	6252	408	94	314	263	335	335	175	94	31	0	119	65	3	3	17
ICARDA_G0016	246	148	51	5361	384	96	288	252	239	314	177	122	41	1	124	90	4	13	15
ICARDA_G0463	258	152	47	6372	410	91	319	262	335	335	172	95	31	0	119	65	3	3	18
ICARDA_G0707	259	151	48	6252	408	94	314	263	335	335	175	94	31	0	119	65	3	3	17
ICARDA_G1173	181	135	55	3822	304	61	243	161	178	231	132	262	58	3	83	146	16	55	56
ICARDA_G0121	188	133	55	3696	309	70	239	168	184	235	140	249	55	2	84	142	15	50	55
ICARDA_G0033	188	133	55	3696	309	70	239	168	184	235	140	249	55	2	84	142	15	50	55
ICARDA_G0461	208	141	54	4371	335	75	260	210	204	264	151	214	53	5	89	124	15	40	35
ICARDA_G0493	192	135	56	3656	312	73	239	194	162	239	145	229	52	2	82	125	13	51	38
ICARDA_G1183	176	140	56	3795	300	53	247	180	144	225	129	231	55	1	89	132	11	51	36
ICARDA_G0650	208	141	54	4371	335	75	260	210	204	264	151	214	53	5	89	124	15	40	35
ICARDA_G1253	238	130	56	3698	353	122	231	219	234	284	191	169	39	3	77	91	14	32	34
ICARDA_G1004	236	147	52	5064	371	91	280	242	229	300	171	135	45	1	120	96	5	16	18
ICARDA_G0383	236	147	52	5064	371	91	280	242	229	300	171	135	45	1	120	96	5	16	18
ICARDA_G1285	234	147	52	5059	370	90	280	240	228	299	170	141	45	1	122	99	5	19	18
ICARDA_G0692	208	141	54	4371	335	75	260	210	204	264	151	214	53	5	89	124	15	40	35
ICARDA_G1365	267	146	45	6689	423	102	321	232	265	350	179	57	23	0	150	47	0	5	9
ICARDA_G0433	239	147	52	5100	374	93	281	245	232	304	174	138	43	1	119	97	5	17	19
ICARDA_G0012	214	143	53	4495	344	79	265	218	209	272	157	185	49	3	99	116	10	32	27
ICARDA_G0599	252	150	50	5715	395	95	300	259	246	325	178	108	37	0	127	82	3	10	13
ICARDA_G0451	259	150	48	6110	407	97	310	265	256	336	179	91	33	0	136	70	3	6	12
ICARDA_G1096	63	83	24	8978	235	-100	335	174	-46	174	-55	614	86	27	36	242	94	242	104
ICARDA_G0400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0548	212	135	68	1423	318	120	198	200	215	233	196	1604	321	3	93	902	14	79	888
ICARDA_G0882	212	135	68	1423	318	120	198	200	215	233	196	1604	321	3	93	902	14	79	888
ICARDA_G1115	273	125	64	1524	386	193	193	255	277	295	255	829	152	0	86	430	3	48	430
ICARDA_G0265	276	125	64	1496	389	195	194	258	279	298	258	808	157	0	88	429	3	46	429
ICARDA_G0562	276	125	64	1496	389	195	194	258	279	298	258	808	157	0	88	429	3	46	429
ICARDA_G0693	276	125	64	1509	389	194	195	258	278	297	258	816	152	0	87	427	3	47	427
ICARDA_G1044	178	144	73	1065	280	85	195	167	177	195	167	1567	333	9	92	905	33	264	905
ICARDA_G0660	178	144	73	1065	280	85	195	167	177	195	167	1567	333	9	92	905	33	264	905
ICARDA_G0325	273	141	72	1422	387	192	195	254	281	294	254	894	184	2	82	445	10	66	445
ICARDA_G1058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0279	165	76	35	5038	288	72	216	145	229	233	106	578	100	4	59	250	25	51	214
ICARDA_G0738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0880	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0373	241	150	42	7562	419	68	351	193	330	330	138	191	47	0	93	98	0	0	68
ICARDA_G0034	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0337	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1083	185	150	40	8177	378	10	368	96	285	285	78	121	23	0	73	57	0	0	52
ICARDA_G0982	202	144	38	8630	393	19	374	103	304	306	88	100	20	0	78	47	0	1	46
ICARDA_G0967	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0418	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1145	215	134	38	8035	384	33	351	170	308	309	106	59	10	0	83	24	0	1	21
ICARDA_G0964	218	138	38	8170	391	34	357	123	311	313	106	93	17	0	84	43	0	1	33
ICARDA_G0140	211	143	42	7363	372	32	340	123	296	296	110	93	21	0	85	44	0	0	29
ICARDA_G0915	217	139	37	8631	402	32	370	119	317	319	101	89	19	0	84	41	0	1	41
ICARDA_G0876	218	137	38	8155	390	34	356	122	311	312	106	89	17	0	79	40	0	1	32
ICARDA_G1097	217	138	38	8111	389	34	355	123	309	311	106	92	17	0	83	43	0	1	33
ICARDA_G1281	188	143	40	7813	380	24	356	98	286	286	86	122	19	0	73	55	0	0	54
ICARDA_G0976	179	147	42	7241	362	19	343	100	268	268	83	86	15	0	70	42	0	0	38
ICARDA_G0324	183	145	39	8255	381	13	368	89	287	287	76	154	28	0	83	75	0	0	71
ICARDA_G1449	183	141	41	7311	359	18	341	84	270	270	84	87	16	0	77	47	0	0	47
ICARDA_G0845	184	152	41	8151	378	9	369	95	283	283	77	123	25	0	77	59	0	0	53
ICARDA_G0282	218	133	38	8044	384	34	350	173	310	311	109	58	11	0	82	24	0	1	20
ICARDA_G0571	215	143	40	7731	385	35	350	126	305	305	109	120	29	0	83	59	0	0	38
ICARDA_G0520	217	142	40	7882	389	36	353	126	309	309	109	113	26	0	85	55	0	0	37
ICARDA_G0775	212	139	40	7717	377	31	346	121	300	301	107	89	18	0	80	41	0	1	29
ICARDA_G0276	217	139	39	8022	389	35	354	124	308	311	107	100	19	0	80	47	0	1	35
ICARDA_G0154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1384	217	141	39	7971	390	36	354	125	308	311	108	108	23	0	79	52	0	1	36
ICARDA_G0651	218	140	39	8102	392	34	358	124	309	312	107	102	19	0	81	48	0	1	36
ICARDA_G0225	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1283	220	133	38	8078	386	36	350	124	312	313	109	68	14	0	83	29	0	1	23
ICARDA_G0944	217	135	38	8047	385	33	352	122	308	309	106	79	16	0	83	35	0	1	27
ICARDA_G0918	80	116	30	8921	284	-93	377	65	192	192	-37	639	86	6	54	241	26	26	219
ICARDA_G0777	202	150	39	8599	399	19	380	104	308	308	89	87	19	0	77	42	0	0	42
ICARDA_G1383	179	148	38	8615	392	10	382	70	285	291	70	281	55	0	80	139	1	2	139
ICARDA_G0921	193	143	37	8783	402	21	381	82	307	307	82	221	43	0	82	111	1	1	111
ICARDA_G1207	215	146	41	7593	387	38	349	129	305	305	111	145	39	0	88	73	0	0	44
ICARDA_G1456	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0009	216	152	43	7327	385	39	346	130	302	302	116	164	39	0	90	76	0	0	47
ICARDA_G0465	219	138	38	8309	395	34	361	122	314	316	106	92	17	0	82	42	0	1	36
ICARDA_G0396	199	137	44	6407	345	34	311	123	274	274	112	74	17	0	76	37	1	1	25
ICARDA_G0163	191	128	34	8973	397	23	374	78	308	308	78	342	67	0	85	174	1	1	174
ICARDA_G0565	218	135	37	8289	390	33	357	121	313	314	105	81	16	0	84	36	0	1	30
ICARDA_G0583	211	142	41	7361	372	32	340	123	296	296	110	86	19	0	79	41	0	0	27
ICARDA_G0311	220	130	36	8241	386	34	352	168	314	314	107	64	14	0	79	27	0	2	22
ICARDA_G0628	210	134	38	7988	379	30	349	119	303	303	102	65	12	0	76	28	0	0	25
ICARDA_G0522	202	144	42	7187	362	23	339	115	286	286	104	64	14	0	76	31	0	0	22
ICARDA_G0920	206	141	40	7625	378	30	348	119	296	296	103	48	8	0	63	21	0	0	20
ICARDA_G1241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1337	282	136	60	3241	389	164	225	250	318	319	237	53	18	0	126	44	0	0	27
ICARDA_G0467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1460	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0762	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0971	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
