Row.names	K2	K3	K4	K5	K6	K7	K8	K9	K10	K11	K12	Country
ICARDA_G0001	1	2	1	5	5	4	5	7	1	6	3	Turkey
ICARDA_G0004	2	1	2	2	1	2	4	7	1	6	3	Canada
ICARDA_G0005	2	1	2	2	1	6	3	7	1	6	3	Germany
ICARDA_G0006	1	2	1	5	5	4	5	7	1	6	3	Egypt
ICARDA_G0009	2	1	2	2	1	6	3	6	10	2	9	Germany
ICARDA_G0010	2	1	2	2	1	2	4	7	1	6	3	Argentina
ICARDA_G0011	1	3	3	1	3	5	2	2	8	9	10	Canada
ICARDA_G0012	1	3	3	1	3	5	2	2	8	9	10	Australia
ICARDA_G0014	1	3	3	1	3	5	2	2	8	9	10	Argentina
ICARDA_G0015	1	3	3	1	3	5	2	2	8	9	10	United Kingdom
ICARDA_G0016	1	2	1	5	4	1	1	9	9	8	4	Canada
ICARDA_G0018	1	2	1	5	4	1	1	9	9	8	4	Brazil
ICARDA_G0019	1	2	1	5	4	1	1	9	9	8	4	China
ICARDA_G0020	1	2	1	5	4	1	1	9	9	8	4	France
ICARDA_G0033	1	2	4	3	2	3	8	3	5	1	1	United States
ICARDA_G0034	1	3	3	1	3	5	2	2	8	9	10	Iran
ICARDA_G0035	1	2	1	5	5	4	6	4	3	5	6	South Africa
ICARDA_G0037	1	2	4	3	2	3	8	3	5	1	1	Germany
ICARDA_G0038	1	2	4	3	2	3	8	3	5	1	1	China
ICARDA_G0040	1	2	1	5	4	1	1	9	9	8	4	South Africa
ICARDA_G0042	1	2	4	3	2	3	8	3	5	1	1	United States
ICARDA_G0046	1	2	1	5	4	1	1	9	9	8	4	France
ICARDA_G0049	1	2	4	3	2	3	8	3	5	1	1	Germany
ICARDA_G0057	1	2	1	5	4	1	1	9	9	8	4	Mexico
ICARDA_G0061	1	2	1	5	4	1	1	9	9	8	4	Turkey
ICARDA_G0076	1	2	4	3	2	3	8	3	5	1	1	United Kingdom
ICARDA_G0078	1	2	4	3	2	3	8	3	5	1	1	France
ICARDA_G0081	1	2	4	3	2	3	8	3	5	1	1	India
ICARDA_G0082	1	2	4	3	2	3	8	3	5	1	1	Egypt
ICARDA_G0084	1	2	4	3	2	3	8	3	5	1	1	Russia
ICARDA_G0098	1	2	1	5	4	1	1	9	9	8	4	South Africa
ICARDA_G0099	1	2	1	5	4	1	1	9	9	8	12	Germany
ICARDA_G0101	1	2	4	3	2	3	8	3	5	1	1	United Kingdom
ICARDA_G0102	1	2	1	5	4	1	1	9	9	8	4	Germany
ICARDA_G0103	1	2	4	3	2	3	8	3	5	1	1	Russia
ICARDA_G0105	1	2	1	5	4	1	1	9	9	8	4	Germany
ICARDA_G0109	1	2	4	3	2	3	8	3	5	1	1	Egypt
ICARDA_G0110	1	2	1	5	4	1	1	9	9	8	4	Germany
ICARDA_G0112	1	1	2	5	5	4	5	5	2	7	2	Argentina
ICARDA_G0116	2	1	2	2	1	6	3	6	10	2	9	South Africa
ICARDA_G0117	1	2	1	5	4	1	1	9	9	8	12	Brazil
ICARDA_G0118	1	2	4	3	2	3	8	3	5	1	1	Iran
ICARDA_G0119	1	2	1	5	4	1	1	9	9	8	4	South Africa
